Sr. No.,Symbol,Company Name,"Market capitalization as on March 28, 2024
(In lakhs)"
243.0,GODREJIND,Godrej Industries Limited,2634436.7029545
244.0,NH,Narayana Hrudayalaya Ltd.,2623584.0017520003
245.0,BLUESTARCO,Blue Star Limited,2618915.554756
246.0,EXIDEIND,Exide Industries Limited,2588675
247.0,ENDURANCE,Endurance Technologies Limited,2569910.23296
248.0,JBCHEPHARM,JB Chemicals & Pharmaceuticals Limited,2561334.9792
249.0,PAYTM,One 97 Communications Limited,2558493.5569845
250.0,ANGELONE,Angel One Limited,2558049.3246
251.0,MOTILALOFS,Motilal Oswal Financial Services Limited,2482042.69593
252.0,ITI,ITI Limited,2428161.292326
253.0,360ONE,360 ONE WAM LIMITED,2423681.82804
254.0,CARBORUNIV,Carborundum Universal Limited,2412715.388322
255.0,AARTIIND,Aarti Industries Limited,2412645.6049425
256.0,SUNTV,Sun TV Network Limited,2365492.93155
257.0,KIOCL,KIOCL Limited,2363544.012344
258.0,ISEC,ICICI Securities Limited,2352878.7230025
259.0,RADICO,Radico Khaitan Limited,2310266.5276875
260.0,SUNDRMFAST,Sundram Fasteners Limited,2297963.85432
261.0,CREDITACC,CREDITACCESS GRAMEEN LIMITED,2296679.150558
262.0,COCHINSHIP,Cochin Shipyard Limited,2293538.24004
263.0,HATSUN,Hatsun Agro Product Limited,2253098.73082
264.0,MANYAVAR,Vedant Fashions Limited,2250176.865595
265.0,CYIENT,Cyient Limited,2212609.8242235
266.0,GET&D,GE T&D India Limited,2171914.7331375
267.0,BRIGADE,Brigade Enterprises Limited,2161465.5892729997
268.0,TIMKEN,Timken India Limited,2150879.69873
269.0,NBCC,NBCC (India) Limited,2140200
270.0,JBMA,JBM Auto Limited,2133355.6500195
271.0,GILLETTE,Gillette India Limited,2124425.807532
272.0,KANSAINER,Kansai Nerolac Paints Limited,2119975.44855
273.0,LAURUSLABS,Laurus Labs Limited,2114632.543863
274.0,GRINDWELL,Grindwell Norton Limited,2104731.84
275.0,FIVESTAR,Five-Star Business Finance Limited,2102820.187035
276.0,SWANENERGY,Swan Energy Limited,2100004.407757
277.0,CHOLAHLDNG,Cholamandalam Financial Holdings Limited,2087146.49013
278.0,IRCON,Ircon International Limited,2065842.82291
279.0,SKFINDIA,SKF India Limited,2055951.8482995
280.0,BSOFT,BIRLASOFT LIMITED,2047455.66382
281.0,ASTERDM,Aster DM Healthcare Limited,2044506.95458
282.0,RELAXO,Relaxo Footwears Limited,2034575.063378
283.0,SONATSOFTW,Sonata Software Limited,2025648.6583760001
284.0,GSPL,Gujarat State Petronet Limited,2011413.55544
285.0,RATNAMANI,Ratnamani Metals & Tubes Limited,1958510.664
286.0,ABFRL,Aditya Birla Fashion and Retail Limited,1950971.5947795
287.0,APLLTD,Alembic Pharmaceuticals Limited,1935753.645152
288.0,PFIZER,Pfizer Limited,1919094.4835339999
289.0,RAMCOCEM,The Ramco Cements Limited,1915267.88609
290.0,SIGNATURE,Signatureglobal (India) Limited,1909821.3120720002
291.0,PEL,Piramal Enterprises Limited,1908181.13595
292.0,ELGIEQUIP,Elgi Equipments Limited,1906841.549272
293.0,LALPATHLAB,Dr. Lal Path Labs Ltd.,1888978.5739820001
294.0,EMAMILTD,Emami Limited,1874112.75
295.0,SANOFI,Sanofi India Limited,1868693.153769
296.0,JYOTICNC,Jyoti CNC Automation Limited,1868167.022092
297.0,TRIDENT,Trident Limited,1862571.797385
298.0,CASTROLIND,Castrol India Limited,1839273.073048
299.0,KAJARIACER,Kajaria Ceramics Limited,1839194.47755
300.0,KAYNES,Kaynes Technology India Limited,1835695.0975235
301.0,CENTURYTEX,Century Textiles & Industries Limited,1820527.88832
302.0,CHALET,Chalet Hotels Limited,1814951.912664
303.0,DEVYANI,Devyani International Limited,1814214.6819510001
304.0,CDSL,Central Depository Services (India) Limited,1788987.75
305.0,KEC,KEC International Limited,1784836.008725
306.0,SCHNEIDER,Schneider Electric Infrastructure Limited,1771880.4513675
307.0,IDFC,IDFC Limited,1771182.770652
308.0,BATAINDIA,Bata India Limited,1753372.70068
309.0,CIEINDIA,CIE Automotive India Limited,1751895.456986
310.0,KPIL,Kalpataru Projects International Limited,1737930.157172
311.0,RRKABEL,R R Kabel Limited,1736224.3224095001
312.0,SUMICHEM,Sumitomo Chemical India Limited,1735779.29694
313.0,NATCOPHARM,Natco Pharma Limited,1729861.388013
314.0,SUVENPHAR,Suven Pharmaceuticals Limited,1723659.3170760002
315.0,CROMPTON,Crompton Greaves Consumer Electricals Limited,1720311.168825
316.0,TRITURBINE,Triveni Turbine Limited,1706045.392071
317.0,PPLPHARMA,Piramal Pharma Limited,1705280.13957
318.0,INOXWIND,Inox Wind Limited,1700147.355136
319.0,ACE,Action Construction Equipment Limited,1698900.415734
320.0,ATUL,Atul Limited,1690103.945775
321.0,CGCL,Capri Global Capital Limited,1683702.482852
322.0,TVSHLTD,TVS Holdings Limited,1651920.9434439999
323.0,SHYAMMETL,Shyam Metalics and Energy Limited,1650646.2127154998
324.0,NUVAMA,Nuvama Wealth Management Limited,1649150.416771
325.0,KIMS,Krishna Institute of Medical Sciences Limited,1647972.2037975
326.0,CELLO,Cello World Limited,1642668.20316
327.0,PNBHOUSING,PNB Housing Finance Limited,1635684.9705495
328.0,REDINGTON,Redington Limited,1629608.8014195
329.0,LAXMIMACH,Lakshmi Machine Works Limited,1622993.409
330.0,JYOTHYLAB,Jyothy Labs Limited,1615534.4292779998
331.0,CESC,CESC Limited,1612556.428095
332.0,GODFRYPHLP,Godfrey Phillips India Limited,1606196.17664
333.0,NSLNISP,NMDC Steel Limited,1603041.39995
334.0,RITES,RITES Limited,1595123.925906
335.0,CONCORDBIO,Concord Biotech Limited,1591003.230432
336.0,INDIAMART,Indiamart Intermesh Limited,1586718.3707660001
337.0,AEGISCHEM,Aegis Logistics Limited,1567741.5
338.0,OLECTRA,Olectra Greentech Limited,1550135.7586135
339.0,WHIRLPOOL,Whirlpool of India Limited,1549675.967535
340.0,ANANDRATHI,Anand Rathi Wealth Limited,1545283.6902195
341.0,NAVINFLUOR,Navin Fluorine International Limited,1543327.49088
342.0,JWL,Jupiter Wagons Limited,1542596.5979375
343.0,APTUS,Aptus Value Housing Finance India Limited,1542423.5490915
344.0,FINCABLES,Finolex Cables Limited,1530922.84345
345.0,FINPIPE,Finolex Industries Limited,1529165.3323725
346.0,POLYMED,Poly Medicure Limited,1525166.634564
347.0,VINATIORGA,Vinati Organics Limited,1511512.8273
348.0,INTELLECT,Intellect Design Arena Limited,1500383.057784
349.0,JAIBALAJI,Jai Balaji Industries Limited,1494203.532125
350.0,J&KBANK,The Jammu & Kashmir Bank Limited,1477786.865346
351.0,KARURVYSYA,Karur Vysya Bank Limited,1469141.2293389998
352.0,BLUEDART,Blue Dart Express Limited,1467323.5745929999
353.0,MANAPPURAM,Manappuram Finance Limited,1465601.7332635
354.0,AFFLE,Affle (India) Limited,1460557.77802
355.0,NCC,NCC Limited,1458801.5472179998
356.0,RBLBANK,RBL Bank Limited,1454055.023655
357.0,TTML,Tata Teleservices (Maharashtra) Limited,1446646.51798
358.0,BASF,BASF India Limited,1444463.44962
359.0,VGUARD,V-Guard Industries Limited,1438542.1049865
360.0,CAMS,Computer Age Management Services Limited,1432841.3491235
361.0,GESHIP,The Great Eastern Shipping Company Limited,1429456.1995125
362.0,CENTURYPLY,Century Plyboards (India) Limited,1422018.222495
363.0,CLEAN,Clean Science and Technology Limited,1412426.3723129998
364.0,JINDALSAW,Jindal Saw Limited,1383576.064259
365.0,FSL,Firstsource Solutions Limited,1377602.367589
366.0,ZENSARTECH,Zensar Technologies Limited,1374691.29222
367.0,SOBHA,Sobha Limited,1374079.2953375
368.0,CHAMBLFERT,Chambal Fertilizers & Chemicals Limited,1370230.85574
369.0,DATAPATTNS,Data Patterns (India) Limited,1355931.72918
370.0,CHENNPETRO,Chennai Petroleum Corporation Limited,1350328.5752
371.0,WELCORP,Welspun Corp Limited,1348631.17683
372.0,MGL,Mahanagar Gas Limited,1347378.280809
373.0,KSB,Ksb Limited,1342155.656796
374.0,WELSPUNLIV,Welspun Living Limited,1337208.473984
375.0,HSCL,Himadri Speciality Chemical Limited,1332219.6941789999
